GEO.id,GEO.id2,GEO.display-label,lvl0a_C002,lvl0b_C002,lvl1_C002,lvl2b_C002,lvl2a_C002,lvl0a_C003,lvl0b_C003,lvl1_C003,lvl2b_C003,lvl2a_C003,lvl0a_C004,lvl0b_C004,lvl1_C004,lvl2b_C004,lvl2a_C004,lvl0a_C005,lvl0b_C005,lvl1_C005,lvl2b_C005,lvl2a_C005,lvl0a_C006,lvl0b_C006,lvl1_C006,lvl2b_C006,lvl2a_C006,lvl0a_C008,lvl0b_C008,lvl1_C008,lvl2b_C008,lvl2a_C008,lvl0a_C010,lvl0b_C010,lvl1_C010,lvl2b_C010,lvl2a_C010,lvl0a_C011,lvl0b_C011,lvl1_C011,lvl2b_C011,lvl2a_C011,lvl0a_C012,lvl0b_C012,lvl1_C012,lvl2b_C012,lvl2a_C012,lvl0a_C013,lvl0b_C013,lvl1_C013,lvl2b_C013,lvl2a_C013,lvl0a_C015,lvl0b_C015,lvl1_C015,lvl2b_C015,lvl2a_C015,lvl0a_C016,lvl0b_C016,lvl1_C016,lvl2b_C016,lvl2a_C016,lvl0a_C017,lvl0b_C017,lvl1_C017,lvl2b_C017,lvl2a_C017,lvl0a_C018,lvl0b_C018,lvl1_C018,lvl2b_C018,lvl2a_C018,lvl0a_C019,lvl0b_C019,lvl1_C019,lvl2b_C019,lvl2a_C019,lvl0a_C020,lvl0b_C020,lvl1_C020,lvl2b_C020,lvl2a_C020,lvl0a_C021,lvl0b_C021,lvl1_C021,lvl2b_C021,lvl2a_C021,lvl0a_C022,lvl0b_C022,lvl1_C022,lvl2b_C022,lvl2a_C022,lvl0a_C023,lvl0b_C023,lvl1_C023,lvl2b_C023,lvl2a_C023,lvl0a_C024,lvl0b_C024,lvl1_C024,lvl2b_C024,lvl2a_C024,lvl0a_C025,lvl0b_C025,lvl1_C025,lvl2b_C025,lvl2a_C025,lvl0a_C026,lvl0b_C026,lvl1_C026,lvl2b_C026,lvl2a_C026,lvl0a_C027,lvl0b_C027,lvl1_C027,lvl2b_C027,lvl2a_C027,lvl0a_C028,lvl0b_C028,lvl1_C028,lvl2b_C028,lvl2a_C028,lvl0a_C029,lvl0b_C029,lvl1_C029,lvl2b_C029,lvl2a_C029,lvl0a_C030,lvl0b_C030,lvl1_C030,lvl2b_C030,lvl2a_C030,lvl0a_C031,lvl0b_C031,lvl1_C031,lvl2b_C031,lvl2a_C031,lvl0a_C032,lvl0b_C032,lvl1_C032,lvl2b_C032,lvl2a_C032,lvl0a_C033,lvl0b_C033,lvl1_C033,lvl2b_C033,lvl2a_C033,lvl0a_C034,lvl0b_C034,lvl1_C034,lvl2b_C034,lvl2a_C034,lvl0a_C036,lvl0b_C036,lvl1_C036,lvl2b_C036,lvl2a_C036,lvl0a_C038,lvl0b_C038,lvl1_C038,lvl2b_C038,lvl2a_C038,lvl0a_C039,lvl0b_C039,lvl1_C039,lvl2b_C039,lvl2a_C039,lvl0a_C040,lvl0b_C040,lvl1_C040,lvl2b_C040,lvl2a_C040,lvl0a_C042,lvl0b_C042,lvl1_C042,lvl2b_C042,lvl2a_C042,lvl0a_C044,lvl0b_C044,lvl1_C044,lvl2b_C044,lvl2a_C044,lvl0a_C046,lvl0b_C046,lvl1_C046,lvl2b_C046,lvl2a_C046
Id,Id2,Geography,State and Local - Amount; Total contributions,State and Local - CV; Total contributions,State; Total contributions,Local - Amount; Total contributions,Local - CV; Total contributions,State and Local - Amount; Total contributions - Employee contributions,State and Local - CV; Total contributions - Employee contributions,State; Total contributions - Employee contributions,Local - Amount; Total contributions - Employee contributions,Local - CV; Total contributions - Employee contributions,State and Local - Amount; Total contributions - Government contributions,State and Local - CV; Total contributions - Government contributions,State; Total contributions - Government contributions,Local - Amount; Total contributions - Government contributions,Local - CV; Total contributions - Government contributions,State and Local - Amount; Total contributions - Government contributions - State government contributions,State and Local - CV; Total contributions - Government contributions - State government contributions,State; Total contributions - Government contributions - State government contributions,Local - Amount; Total contributions - Government contributions - State government contributions,Local - CV; Total contributions - Government contributions - State government contributions,State and Local - Amount; Total contributions - Government contributions - Local government contributions,State and Local - CV; Total contributions - Government contributions - Local government contributions,State; Total contributions - Government contributions - Local government contributions,Local - Amount; Total contributions - Government contributions - Local government contributions,Local - CV; Total contributions - Government contributions - Local government contributions,State and Local - Amount; Earnings on investments (3),State and Local - CV; Earnings on investments (3),State; Earnings on investments (3),Local - Amount; Earnings on investments (3),Local - CV; Earnings on investments (3),State and Local - Amount; Total payments,State and Local - CV; Total payments,State; Total payments,Local - Amount; Total payments,Local - CV; Total payments,State and Local - Amount; Total payments - Benefits,State and Local - CV; Total payments - Benefits,State; Total payments - Benefits,Local - Amount; Total payments - Benefits,Local - CV; Total payments - Benefits,State and Local - Amount; Total payments - Withdrawals,State and Local - CV; Total payments - Withdrawals,State; Total payments - Withdrawals,Local - Amount; Total payments - Withdrawals,Local - CV; Total payments - Withdrawals,State and Local - Amount; Total payments - Other payments,State and Local - CV; Total payments - Other payments,State; Total payments - Other payments,Local - Amount; Total payments - Other payments,Local - CV; Total payments - Other payments,State and Local - Amount; Total cash and investment holdings,State and Local - CV; Total cash and investment holdings,State; Total cash and investment holdings,Local - Amount; Total cash and investment holdings,Local - CV; Total cash and investment holdings,State and Local - Amount; Total cash and investment holdings - Total cash and short-term investments,State and Local - CV; Total cash and investment holdings - Total cash and short-term investments,State; Total cash and investment holdings - Total cash and short-term investments,Local - Amount; Total cash and investment holdings - Total cash and short-term investments,Local - CV; Total cash and investment holdings - Total cash and short-term investments,State and Local - Amount; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,State and Local - CV; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,State; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,Local - Amount; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,Local - CV; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,"State and Local - Amount; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments","State and Local - CV; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments","State; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments","Local - Amount; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments","Local - CV; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments",State and Local - Amount; Total cash and investment holdings - Total securities,State and Local - CV; Total cash and investment holdings - Total securities,State; Total cash and investment holdings - Total securities,Local - Amount; Total cash and investment holdings - Total securities,Local - CV; Total cash and investment holdings - Total securities,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities,State; Total cash and investment holdings - Total securities - Governmental securities,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities,Local - CV; Total cash and investment holdings - Total securities - Governmental securities,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government,State; Total cash and investment holdings - Total securities - Governmental securities - Federal government,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government,Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,State; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,State; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - State and local government,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities - State and local government,State; Total cash and investment holdings - Total securities - Governmental securities - State and local government,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - State and local government,Local - CV; Total cash and investment holdings - Total securities - Governmental securities - State and local government,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities,State; Total cash and investment holdings - Total securities - Nongovernmental securities,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,State and Local - Amount; Total cash and investment holdings - Total other investments,State and Local - CV; Total cash and investment holdings - Total other investments,State; Total cash and investment holdings - Total other investments,Local - Amount; Total cash and investment holdings - Total other investments,Local - CV; Total cash and investment holdings - Total other investments,State and Local - Amount; Total cash and investment holdings - Total other investments - Real property,State and Local - CV; Total cash and investment holdings - Total other investments - Real property,State; Total cash and investment holdings - Total other investments - Real property,Local - Amount; Total cash and investment holdings - Total other investments - Real property,Local - CV; Total cash and investment holdings - Total other investments - Real property,State and Local - Amount; Total cash and investment holdings - Total other investments - Miscellaneous investments,State and Local - CV; Total cash and investment holdings - Total other investments - Miscellaneous investments,State; Total cash and investment holdings - Total other investments - Miscellaneous investments,Local - Amount; Total cash and investment holdings - Total other investments - Miscellaneous investments,Local - CV; Total cash and investment holdings - Total other investments - Miscellaneous investments,State and Local - Amount; Number of systems,State and Local - CV; Number of systems,State; Number of systems,Local - Amount; Number of systems,Local - CV; Number of systems,State and Local - Amount; Total membership,State and Local - CV; Total membership,State; Total membership,Local - Amount; Total membership,Local - CV; Total membership,State and Local - Amount; Total membership - Active membership,State and Local - CV; Total membership - Active membership,State; Total membership - Active membership,Local - Amount; Total membership - Active membership,Local - CV; Total membership - Active membership,State and Local - Amount; Total membership - Inactive membership,State and Local - CV; Total membership - Inactive membership,State; Total membership - Inactive membership,Local - Amount; Total membership - Inactive membership,Local - CV; Total membership - Inactive membership,State and Local - Amount; Total beneficiaries receiving periodic benefit payments,State and Local - CV; Total beneficiaries receiving periodic benefit payments,State; Total beneficiaries receiving periodic benefit payments,Local - Amount; Total beneficiaries receiving periodic benefit payments,Local - CV; Total beneficiaries receiving periodic benefit payments,State and Local - Amount; Covered payroll,State and Local - CV; Covered payroll,State; Covered payroll,Local - Amount; Covered payroll,Local - CV; Covered payroll,State and Local - Amount; Pension Obligations,State and Local - CV; Pension Obligations,State; Pension Obligations,Local - Amount; Pension Obligations,Local - CV; Pension Obligations
0100000US,,United States,153768874,0.10,119205414,34563460,0.45,45065430,0.07,37454045,7611385,0.43,108703444,0.12,81751369,26952075,0.50,45934474,0.16,45108649,825825,8.77,62768970,0.14,36642720,26126250,0.33,383258490,0.06,315735757,67522733,0.36,260822329,0.09,213432731,47389598,0.51,242876959,0.09,199138321,43738638,0.52,5513756,0.12,4549283,964473,0.71,12431675,0.10,9745127,2686548,0.49,3287364891,0.05,2726314125,561050766,0.30,117376270,0.42,88788091,28588179,1.71,27869731,0.74,21180467,6689264,3.09,89506539,0.42,67607624,21898915,1.73,2715310312,0.06,2241785872,473524440,0.35,295803983,0.15,245468798,50335185,0.90,293549085,0.12,244239375,49309710,0.74,187391578,0.10,153671610,33719968,0.54,106157507,0.28,90567765,15589742,1.91,2254908,8.01,1229423,1025485,17.60,2419506329,0.06,1996317074,423189255,0.35,393259858,0.09,314363670,78896188,0.44,1208901333,0.06,997525635,211375698,0.34,9211323,0.32,8310181,901142,3.29,65932295,0.39,53403123,12529172,2.04,632030904,0.02,539488439,92542465,0.11,110170615,0.84,83226026,26944589,3.44,454678310,0.05,395740162,58938148,0.41,126418441,0.03,110625169,15793272,0.26,328259868,0.06,285114993,43144875,0.49,3992,0.00,231,3761,0.00,19546452,0.05,17525187,2021265,0.44,14222906,0.06,12515498,1707408,0.48,5323545,0.04,5009689,313856,0.66,9295722,0.05,7912924,1382798,0.35,590284068,0.00,590284068,0,0.00,3615045075,0.00,3615045075,0,0.00
0400000US01,01,Alabama,1802232,0.00,1684242,117990,0.00,757095,0.00,700319,56776,0.00,1045137,0.00,983923,61214,0.00,145224,0.00,139266,5958,0.00,899913,0.00,844657,55256,0.00,4338491,0.00,4065908,272583,0.00,3195749,0.00,2966784,228965,0.00,3032398,0.00,2820519,211879,0.00,106928,0.00,100999,5929,0.00,56423,0.00,45266,11157,0.00,33251180,0.00,30856323,2394857,0.00,899195,0.00,806302,92893,0.00,84496,0.00,33099,51397,0.00,814699,0.00,773203,41496,0.00,29333158,0.00,27125069,2208089,0.00,1217196,0.00,967549,249647,0.00,1216027,0.00,967549,248478,0.00,842178,0.00,667819,174359,0.00,373849,0.00,299730,74119,0.00,1169,0.00,0,1169,0.00,28115962,0.00,26157520,1958442,0.00,6547964,0.00,6128993,418971,0.00,16903775,0.00,15716536,1187239,0.00,0,0.00,0,0,0.00,79831,0.00,0,79831,0.00,4414283,0.00,4300160,114123,0.00,170109,0.00,11831,158278,0.00,3018827,0.00,2924952,93875,0.00,2937283,0.00,2921594,15689,0.00,81544,0.00,3358,78186,0.00,10,0.00,4,6,0.00,262969,0.00,250112,12857,0.00,233423,0.00,220815,12608,0.00,29546,0.00,29297,249,0.00,131036,0.00,124031,7005,0.00,9516762,0.00,9516762,0,0.00,42585396,0.00,42585396,0,0.00
0400000US02,02,Alaska,734047,0.00,717986,16061,0.00,166658,0.00,165220,1438,0.00,567389,0.00,552766,14623,0.00,439305,0.00,438698,607,0.00,128084,0.00,114068,14016,0.00,1222555,0.00,1186131,36424,0.00,1046583,0.00,1017759,28824,0.00,1008126,0.00,983374,24752,0.00,16536,0.00,13721,2815,0.00,21921,0.00,20664,1257,0.00,10406246,0.00,10066125,340121,0.00,126482,0.00,122760,3722,0.00,126271,0.00,122760,3511,0.00,211,0.00,0,211,0.00,6035771,0.00,5765412,270359,0.00,885343,0.00,863433,21910,0.00,880010,0.00,863433,16577,0.00,876129,0.00,863433,12696,0.00,3881,0.00,0,3881,0.00,5333,0.00,0,5333,0.00,5150428,0.00,4901979,248449,0.00,502721,0.00,457081,45640,0.00,3367271,0.00,3230443,136828,0.00,0,0.00,0,0,0.00,21602,0.00,1986,19616,0.00,1253480,0.00,1207115,46365,0.00,5354,0.00,5354,0,0.00,4243993,0.00,4177953,66040,0.00,520122,0.00,512298,7824,0.00,3723871,0.00,3665655,58216,0.00,6,0.00,4,2,0.00,43597,0.00,43099,498,0.00,34961,0.00,34607,354,0.00,8636,0.00,8492,144,0.00,42345,0.00,41613,732,0.00,2139226,0.00,2139226,0,0.00,17862905,0.00,17862905,0,0.00
0400000US04,04,Arizona,2830767,0.00,2559088,271679,0.00,1220233,0.00,1162427,57806,0.00,1610534,0.00,1396661,213873,0.00,221578,0.00,218833,2745,0.00,1388956,0.00,1177828,211128,0.00,4733806,0.00,4326771,407035,0.00,3833492,0.00,3496322,337170,0.00,3425450,0.00,3104294,321156,0.00,269208,0.00,262651,6557,0.00,138835,0.00,129377,9458,0.00,41443164,0.00,37674818,3768346,0.00,2062350,0.00,2006382,55968,0.00,195845,0.00,163441,32404,0.00,1866505,0.00,1842941,23564,0.00,32404940,0.00,29141765,3263175,0.00,3403283,0.00,3064981,338302,0.00,3391169,0.00,3064981,326188,0.00,2943251,0.00,2742797,200454,0.00,447918,0.00,322184,125734,0.00,12114,0.00,0,12114,0.00,29001657,0.00,26076784,2924873,0.00,2977316,0.00,2446178,531138,0.00,17474340,0.00,16265027,1209313,0.00,0,0.00,0,0,0.00,23231,0.00,0,23231,0.00,8137263,0.00,7325221,812042,0.00,389507,0.00,40358,349149,0.00,6975874,0.00,6526671,449203,0.00,2679296,0.00,2606801,72495,0.00,4296578,0.00,3919870,376708,0.00,7,0.00,4,3,0.00,474692,0.00,457423,17269,0.00,256867,0.00,241416,15451,0.00,217825,0.00,216007,1818,0.00,152069,0.00,140356,11713,0.00,10910860,0.00,10910860,0,0.00,52676310,0.00,52676310,0,0.00
0400000US05,05,Arkansas,1001918,0.00,968777,33141,0.00,188583,0.00,187414,1169,0.00,813335,0.00,781363,31972,0.00,311223,0.00,305872,5351,0.00,502112,0.00,475491,26621,0.00,3002058,0.00,2966208,35850,0.00,1530229,0.00,1501031,29198,0.00,1426482,0.00,1398813,27669,0.00,29710,0.00,29515,195,0.00,74037,0.00,72703,1334,0.00,22219051,0.00,21970487,248564,0.00,572890,0.00,567773,5117,0.00,570962,0.00,567773,3189,0.00,1928,0.00,0,1928,0.00,17776482,0.00,17534766,241716,0.00,446485,0.00,423326,23159,0.00,440426,0.00,417267,23159,0.00,227392,0.00,207921,19471,0.00,213034,0.00,209346,3688,0.00,6059,0.00,6059,0,0.00,17329997,0.00,17111440,218557,0.00,1668142,0.00,1648416,19726,0.00,5969408,0.00,5937450,31958,0.00,9273,0.00,9273,0,0.00,6367198,0.00,6344482,22716,0.00,2430461,0.00,2430316,145,0.00,885515,0.00,741503,144012,0.00,3869679,0.00,3867948,1731,0.00,458441,0.00,458435,6,0.00,3411238,0.00,3409513,1725,0.00,33,0.00,6,27,0.00,166590,0.00,166086,504,0.00,134089,0.00,133650,439,0.00,32501,0.00,32436,65,0.00,75046,0.00,73458,1588,0.00,4934332,0.00,4934332,0,0.00,28385955,0.00,28385955,0,0.00
0400000US06,06,California,28941450,0.01,20309857,8631593,0.02,9077968,0.00,6672210,2405758,0.02,19863482,0.01,13637647,6225835,0.02,5602745,0.00,5590748,11997,0.00,14260737,0.01,8046899,6213838,0.02,78609266,0.00,57799399,20809867,0.01,43852250,0.00,31995623,11856627,0.01,41438979,0.00,30586445,10852534,0.01,560782,0.00,443716,117066,0.00,1852490,0.00,965462,887028,0.01,657647900,0.00,473868201,183779699,0.01,25352383,0.00,13767015,11585368,0.00,4915722,0.00,2971109,1944613,0.00,20436661,0.00,10795906,9640755,0.00,544748478,0.00,402248837,142499641,0.01,43383250,0.00,29965934,13417316,0.00,43089461,0.00,29954049,13135412,0.00,20239655,0.00,12225746,8013909,0.00,22849806,0.00,17728303,5121503,0.00,293789,0.00,11885,281904,0.00,501365228,0.00,372282903,129082325,0.01,80145983,0.00,57126668,23019315,0.00,246595405,0.00,193361101,53234304,0.00,70246,0.00,13902,56344,0.00,12429933,0.00,11023163,1406770,0.04,154246728,0.00,110665878,43580850,0.00,7876933,0.13,92191,7784742,0.13,87547040,0.00,57852349,29694691,0.00,46404439,0.00,37237929,9166510,0.00,41142601,0.00,20614420,20528181,0.00,63,0.00,5,58,0.00,2303729,0.00,1898023,405706,0.02,1646473,0.00,1301011,345462,0.02,657256,0.00,597012,60244,0.00,1175406,0.00,907892,267514,0.01,77672114,0.00,77672114,0,0.00,613095097,0.00,613095097,0,0.00
0400000US08,08,Colorado,2017672,0.08,1848932,168740,0.97,789801,0.01,723991,65810,0.15,1227871,0.14,1124941,102930,1.63,352863,0.48,349299,3564,47.76,875009,0.09,775642,99367,0.81,5488339,0.70,5031521,456818,8.36,4443341,1.16,4132025,311316,16.59,4028173,1.18,3752386,275787,17.28,210111,0.16,198361,11750,2.89,205059,1.78,181278,23781,15.35,46530078,0.73,42999909,3530169,9.57,1145150,0.03,1090121,55029,0.65,16049,2.37,8972,7077,5.37,1129101,0.01,1081149,47952,0.19,39846658,0.85,37270947,2575711,13.13,5997664,0.05,5768443,229221,1.23,5897961,0.05,5680672,217289,1.30,3153371,0.01,3053564,99807,0.46,2744590,0.11,2627108,117482,2.48,99703,0.00,87771,11932,0.00,33848994,1.00,31502504,2346490,14.47,3209107,0.14,2873878,335229,1.33,16213290,0.00,15458817,754473,0.02,0,0.00,0,0,0.00,28081,13.55,0,28081,13.55,13463997,0.03,12872968,591029,0.75,934519,36.82,296841,637678,53.96,5538270,0.01,4638841,899429,0.04,648565,0.06,453482,195083,0.19,4889705,0.00,4185359,704346,0.00,67,0.00,2,65,0.00,428478,0.02,407363,21115,0.36,223683,0.04,207511,16172,0.56,204795,0.05,199852,4943,2.15,121757,0.16,109135,12622,1.53,7662389,0.00,7662389,0,0.00,62161651,0.00,62161651,0,0.00
0400000US09,09,Connecticut,2797253,0.04,2378315,418938,0.26,645440,0.07,456272,189168,0.23,2151813,0.04,1922043,229770,0.38,1869935,0.02,1860996,8939,4.39,281877,0.43,61047,220830,0.54,5041830,0.02,4384431,657399,0.19,3971602,0.09,3358780,612822,0.55,3821090,0.10,3260384,560706,0.67,36789,0.55,16776,20013,1.02,113723,0.35,81620,32103,1.23,32522521,0.03,25460944,7061577,0.15,1052104,0.33,479396,572708,0.60,820823,0.44,479396,341427,1.06,231281,0.40,0,231281,0.40,31056635,0.03,24736901,6319734,0.14,742208,0.65,0,742208,0.65,732017,0.66,0,732017,0.66,404141,1.69,0,404141,1.69,327876,2.48,0,327876,2.48,10191,0.00,0,10191,0.00,30314427,0.02,24736901,5577526,0.12,4851446,0.06,3891171,960275,0.29,15091354,0.06,12287100,2804254,0.32,0,0.00,0,0,0.00,520084,0.87,0,520084,0.87,8952122,0.00,8280856,671266,0.07,899421,0.00,277774,621647,0.00,413782,0.00,244647,169135,0.00,26900,0.00,0,26900,0.00,386882,0.00,244647,142235,0.00,61,0.00,6,55,0.00,155014,0.25,132147,22867,1.72,138093,0.23,117313,20780,1.53,16921,0.48,14834,2087,3.86,107679,0.11,83232,24447,0.48,7520518,0.00,7520518,0,0.00,50516704,0.00,50516704,0,0.00
0400000US10,10,Delaware,370881,0.00,322523,48358,0.00,70874,0.00,59798,11076,0.00,300007,0.00,262725,37282,0.00,260783,0.00,252450,8333,0.00,39224,0.00,10275,28949,0.00,916759,0.00,855080,61679,0.00,611487,0.00,556211,55276,0.00,574107,0.00,524436,49671,0.00,7362,0.00,4028,3334,0.00,30018,0.00,27747,2271,0.00,8642790,0.00,8082025,560765,0.00,449791,0.00,424513,25278,0.00,23151,0.00,687,22464,0.00,426640,0.00,423826,2814,0.00,6661408,0.00,6129429,531979,0.00,76106,0.00,19620,56486,0.00,71652,0.00,15166,56486,0.00,27208,0.00,15166,12042,0.00,44444,0.00,0,44444,0.00,4454,0.00,4454,0,0.00,6585302,0.00,6109809,475493,0.00,1987288,0.00,1870959,116329,0.00,1832580,0.00,1577586,254994,0.00,0,0.00,0,0,0.00,43264,0.00,0,43264,0.00,1124340,0.00,1124266,74,0.00,1597830,0.00,1536998,60832,0.00,1531591,0.00,1528083,3508,0.00,0,0.00,0,0,0.00,1531591,0.00,1528083,3508,0.00,8,0.00,1,7,0.00,48136,0.00,46420,1716,0.00,44632,0.00,43061,1571,0.00,3504,0.00,3359,145,0.00,28489,0.00,26180,2309,0.00,1877105,0.00,1877105,0,0.00,8257270,0.00,8257270,0,0.00
0400000US11,11,District of Columbia,279069,0.00,0,279069,0.00,62019,0.00,0,62019,0.00,217050,0.00,0,217050,0.00,4350,0.00,0,4350,0.00,212700,0.00,0,212700,0.00,937664,0.00,0,937664,0.00,360021,0.00,0,360021,0.00,312240,0.00,0,312240,0.00,15649,0.00,0,15649,0.00,32132,0.00,0,32132,0.00,8182628,0.00,0,8182628,0.00,179020,0.00,0,179020,0.00,101989,0.00,0,101989,0.00,77031,0.00,0,77031,0.00,7666984,0.00,0,7666984,0.00,235261,0.00,0,235261,0.00,234817,0.00,0,234817,0.00,210577,0.00,0,210577,0.00,24240,0.00,0,24240,0.00,444,0.00,0,444,0.00,7431723,0.00,0,7431723,0.00,1841657,0.00,0,1841657,0.00,3923216,0.00,0,3923216,0.00,0,0.00,0,0,0.00,71819,0.00,0,71819,0.00,1572788,0.00,0,1572788,0.00,22243,0.00,0,22243,0.00,336624,0.00,0,336624,0.00,265066,0.00,0,265066,0.00,71558,0.00,0,71558,0.00,7,0.00,7,0,0.00,21750,0.00,0,21750,0.00,19547,0.00,0,19547,0.00,2203,0.00,0,2203,0.00,11381,0.00,0,11381,0.00,0,0.00,0,0,0.00,0,0.00,0,0,0.00
