GEO.id,GEO.id2,GEO.display-label,lvl0a_C002,lvl0b_C002,lvl1_C002,lvl2b_C002,lvl2a_C002,lvl0a_C003,lvl0b_C003,lvl1_C003,lvl2b_C003,lvl2a_C003,lvl0a_C004,lvl0b_C004,lvl1_C004,lvl2b_C004,lvl2a_C004,lvl0a_C005,lvl0b_C005,lvl1_C005,lvl2b_C005,lvl2a_C005,lvl0a_C006,lvl0b_C006,lvl1_C006,lvl2b_C006,lvl2a_C006,lvl0a_C008,lvl0b_C008,lvl1_C008,lvl2b_C008,lvl2a_C008,lvl0a_C010,lvl0b_C010,lvl1_C010,lvl2b_C010,lvl2a_C010,lvl0a_C011,lvl0b_C011,lvl1_C011,lvl2b_C011,lvl2a_C011,lvl0a_C012,lvl0b_C012,lvl1_C012,lvl2b_C012,lvl2a_C012,lvl0a_C013,lvl0b_C013,lvl1_C013,lvl2b_C013,lvl2a_C013,lvl0a_C015,lvl0b_C015,lvl1_C015,lvl2b_C015,lvl2a_C015,lvl0a_C016,lvl0b_C016,lvl1_C016,lvl2b_C016,lvl2a_C016,lvl0a_C017,lvl0b_C017,lvl1_C017,lvl2b_C017,lvl2a_C017,lvl0a_C018,lvl0b_C018,lvl1_C018,lvl2b_C018,lvl2a_C018,lvl0a_C019,lvl0b_C019,lvl1_C019,lvl2b_C019,lvl2a_C019,lvl0a_C020,lvl0b_C020,lvl1_C020,lvl2b_C020,lvl2a_C020,lvl0a_C021,lvl0b_C021,lvl1_C021,lvl2b_C021,lvl2a_C021,lvl0a_C022,lvl0b_C022,lvl1_C022,lvl2b_C022,lvl2a_C022,lvl0a_C023,lvl0b_C023,lvl1_C023,lvl2b_C023,lvl2a_C023,lvl0a_C024,lvl0b_C024,lvl1_C024,lvl2b_C024,lvl2a_C024,lvl0a_C025,lvl0b_C025,lvl1_C025,lvl2b_C025,lvl2a_C025,lvl0a_C026,lvl0b_C026,lvl1_C026,lvl2b_C026,lvl2a_C026,lvl0a_C027,lvl0b_C027,lvl1_C027,lvl2b_C027,lvl2a_C027,lvl0a_C028,lvl0b_C028,lvl1_C028,lvl2b_C028,lvl2a_C028,lvl0a_C029,lvl0b_C029,lvl1_C029,lvl2b_C029,lvl2a_C029,lvl0a_C030,lvl0b_C030,lvl1_C030,lvl2b_C030,lvl2a_C030,lvl0a_C031,lvl0b_C031,lvl1_C031,lvl2b_C031,lvl2a_C031,lvl0a_C032,lvl0b_C032,lvl1_C032,lvl2b_C032,lvl2a_C032,lvl0a_C033,lvl0b_C033,lvl1_C033,lvl2b_C033,lvl2a_C033,lvl0a_C034,lvl0b_C034,lvl1_C034,lvl2b_C034,lvl2a_C034,lvl0a_C038,lvl0b_C038,lvl1_C038,lvl2b_C038,lvl2a_C038,lvl0a_C039,lvl0b_C039,lvl1_C039,lvl2b_C039,lvl2a_C039,lvl0a_C040,lvl0b_C040,lvl1_C040,lvl2b_C040,lvl2a_C040,lvl0a_C042,lvl0b_C042,lvl1_C042,lvl2b_C042,lvl2a_C042,lvl0a_C044,lvl0b_C044,lvl1_C044,lvl2b_C044,lvl2a_C044,lvl0a_C046,lvl0b_C046,lvl1_C046,lvl2b_C046,lvl2a_C046
Id,Id2,Geography,State and Local - Amount; Total contributions,State and Local - CV; Total contributions,State; Total contributions,Local - Amount; Total contributions,Local - CV; Total contributions,State and Local - Amount; Total contributions - Employee contributions,State and Local - CV; Total contributions - Employee contributions,State; Total contributions - Employee contributions,Local - Amount; Total contributions - Employee contributions,Local - CV; Total contributions - Employee contributions,State and Local - Amount; Total contributions - Government contributions,State and Local - CV; Total contributions - Government contributions,State; Total contributions - Government contributions,Local - Amount; Total contributions - Government contributions,Local - CV; Total contributions - Government contributions,State and Local - Amount; Total contributions - Government contributions - State government contributions,State and Local - CV; Total contributions - Government contributions - State government contributions,State; Total contributions - Government contributions - State government contributions,Local - Amount; Total contributions - Government contributions - State government contributions,Local - CV; Total contributions - Government contributions - State government contributions,State and Local - Amount; Total contributions - Government contributions - Local government contributions,State and Local - CV; Total contributions - Government contributions - Local government contributions,State; Total contributions - Government contributions - Local government contributions,Local - Amount; Total contributions - Government contributions - Local government contributions,Local - CV; Total contributions - Government contributions - Local government contributions,State and Local - Amount; Earnings on investments (3),State and Local - CV; Earnings on investments (3),State; Earnings on investments (3),Local - Amount; Earnings on investments (3),Local - CV; Earnings on investments (3),State and Local - Amount; Total payments,State and Local - CV; Total payments,State; Total payments,Local - Amount; Total payments,Local - CV; Total payments,State and Local - Amount; Total payments - Benefits,State and Local - CV; Total payments - Benefits,State; Total payments - Benefits,Local - Amount; Total payments - Benefits,Local - CV; Total payments - Benefits,State and Local - Amount; Total payments - Withdrawals,State and Local - CV; Total payments - Withdrawals,State; Total payments - Withdrawals,Local - Amount; Total payments - Withdrawals,Local - CV; Total payments - Withdrawals,State and Local - Amount; Total payments - Other payments,State and Local - CV; Total payments - Other payments,State; Total payments - Other payments,Local - Amount; Total payments - Other payments,Local - CV; Total payments - Other payments,State and Local - Amount; Total cash and investment holdings,State and Local - CV; Total cash and investment holdings,State; Total cash and investment holdings,Local - Amount; Total cash and investment holdings,Local - CV; Total cash and investment holdings,State and Local - Amount; Total cash and investment holdings - Total cash and short-term investments,State and Local - CV; Total cash and investment holdings - Total cash and short-term investments,State; Total cash and investment holdings - Total cash and short-term investments,Local - Amount; Total cash and investment holdings - Total cash and short-term investments,Local - CV; Total cash and investment holdings - Total cash and short-term investments,State and Local - Amount; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,State and Local - CV; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,State; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,Local - Amount; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,Local - CV; Total cash and investment holdings - Total cash and short-term investments - Cash and demand deposits,"State and Local - Amount; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments","State and Local - CV; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments","State; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments","Local - Amount; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments","Local - CV; Total cash and investment holdings - Total cash and short-term investments - Time, savings deposits and nonfederal short-term investments",State and Local - Amount; Total cash and investment holdings - Total securities,State and Local - CV; Total cash and investment holdings - Total securities,State; Total cash and investment holdings - Total securities,Local - Amount; Total cash and investment holdings - Total securities,Local - CV; Total cash and investment holdings - Total securities,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities,State; Total cash and investment holdings - Total securities - Governmental securities,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities,Local - CV; Total cash and investment holdings - Total securities - Governmental securities,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government,State; Total cash and investment holdings - Total securities - Governmental securities - Federal government,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government,Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,State; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government - U.S. Treasury,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,State; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,Local - CV; Total cash and investment holdings - Total securities - Governmental securities - Federal government - Federal agency,State and Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - State and local government,State and Local - CV; Total cash and investment holdings - Total securities - Governmental securities - State and local government,State; Total cash and investment holdings - Total securities - Governmental securities - State and local government,Local - Amount; Total cash and investment holdings - Total securities - Governmental securities - State and local government,Local - CV; Total cash and investment holdings - Total securities - Governmental securities - State and local government,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities,State; Total cash and investment holdings - Total securities - Nongovernmental securities,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate bonds,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Corporate stocks,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Mortgages,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Funds held in trust,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Foreign and international securities,State and Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,State and Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,State; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,Local - Amount; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,Local - CV; Total cash and investment holdings - Total securities - Nongovernmental securities - Other nongovernmental securities,State and Local - Amount; Total cash and investment holdings - Total other investments,State and Local - CV; Total cash and investment holdings - Total other investments,State; Total cash and investment holdings - Total other investments,Local - Amount; Total cash and investment holdings - Total other investments,Local - CV; Total cash and investment holdings - Total other investments,State and Local - Amount; Total cash and investment holdings - Total other investments - Real property,State and Local - CV; Total cash and investment holdings - Total other investments - Real property,State; Total cash and investment holdings - Total other investments - Real property,Local - Amount; Total cash and investment holdings - Total other investments - Real property,Local - CV; Total cash and investment holdings - Total other investments - Real property,State and Local - Amount; Total cash and investment holdings - Total other investments - Miscellaneous investments,State and Local - CV; Total cash and investment holdings - Total other investments - Miscellaneous investments,State; Total cash and investment holdings - Total other investments - Miscellaneous investments,Local - Amount; Total cash and investment holdings - Total other investments - Miscellaneous investments,Local - CV; Total cash and investment holdings - Total other investments - Miscellaneous investments,State and Local - Amount; Total membership,State and Local - CV; Total membership,State; Total membership,Local - Amount; Total membership,Local - CV; Total membership,State and Local - Amount; Total membership - Active membership,State and Local - CV; Total membership - Active membership,State; Total membership - Active membership,Local - Amount; Total membership - Active membership,Local - CV; Total membership - Active membership,State and Local - Amount; Total membership - Inactive membership,State and Local - CV; Total membership - Inactive membership,State; Total membership - Inactive membership,Local - Amount; Total membership - Inactive membership,Local - CV; Total membership - Inactive membership,State and Local - Amount; Total beneficiaries receiving periodic benefit payments,State and Local - CV; Total beneficiaries receiving periodic benefit payments,State; Total beneficiaries receiving periodic benefit payments,Local - Amount; Total beneficiaries receiving periodic benefit payments,Local - CV; Total beneficiaries receiving periodic benefit payments,State and Local - Amount; Covered payroll,State and Local - CV; Covered payroll,State; Covered payroll,Local - Amount; Covered payroll,Local - CV; Covered payroll,State and Local - Amount; Pension Obligations,State and Local - CV; Pension Obligations,State; Pension Obligations,Local - Amount; Pension Obligations,Local - CV; Pension Obligations
0100000US,,United States,166578885,0.1,130460131,36118754,0.4,45522946,0.1,38182057,7340889,0.4,121055938,0.1,92278074,28777864,0.5,52752373,0.1,51881368,871005,8.9,68303566,0.1,40396706,27906860,0.3,537459627,0.1,439096808,98362819,0.3,272862247,0.1,223754432,49107815,0.6,252954368,0.1,208377743,44576625,0.7,6286383,0.1,4940765,1345618,0.5,13621533,0.2,10435928,3185605,0.7,3700070000,0.1,3068060000,632006141,0.3,127247681,0.5,95693793,31553888,1.8,31713033,0.8,21128324,10584709,2.5,95534648,0.4,74565469,20969179,2.0,3075200000,0.1,2547250000,527954310,0.3,314431875,0.1,261524084,52907791,0.9,312017007,0.1,260006539,52010468,0.8,197052045,0.1,162268329,34783716,0.4,114964962,0.3,97738210,17226752,2.3,2414873,3.1,1517546,897327,8.4,2760770000,0.1,2285730000,475046519,0.3,435910614,0.1,359272327,76638287,0.4,1349430000,0.1,1117680000,231748599,0.4,9612729,0.4,8783146,829583,4.2,69701647,0.3,57667807,12033840,1.8,743566556,0.0,628907459,114659097,0.1,152550767,0.7,113413653,39137114,2.6,497616472,0.1,425118529,72497943,0.5,160402177,0.0,141031785,19370392,0.1,337214296,0.1,284086744,53127552,0.7,19670394,0.0,17699320,1971074,0.5,14266090,0.1,12603149,1662941,0.5,5404304,0.0,5096171,308133,0.8,9561562,0.0,8181463,1380099,0.3,0,0.0,605158086,0,0.0,0,0.0,3793360000,0,0.0
0400000US01,01,Alabama,1962989,0.0,1856750,106239,0.0,767843,0.0,708216,59627,0.0,1195146,0.0,1148534,46612,0.0,899754,0.0,898186,1568,0.0,295392,0.0,250348,45044,0.0,4069209,0.0,3703969,365240,0.0,3295968,0.0,3071679,224289,0.0,3126205,0.0,2928387,197818,0.0,107457,0.0,102832,4625,0.0,62306,0.0,40460,21846,0.0,35741493,0.0,33200915,2540578,0.0,1149052,0.0,1027040,122012,0.0,195124,0.0,121666,73458,0.0,953928,0.0,905374,48554,0.0,30931279,0.0,28652400,2278879,0.0,1509909,0.0,1282420,227489,0.0,1507125,0.0,1282420,224705,0.0,1145919,0.0,979430,166489,0.0,361206,0.0,302990,58216,0.0,2784,0.0,0,2784,0.0,29421370,0.0,27369980,2051390,0.0,3389035,0.0,3068528,320507,0.0,21336090,0.0,19937096,1398994,0.0,0,0.0,0,0,0.0,66794,0.0,0,66794,0.0,4460778,0.0,4349865,110913,0.0,168673,0.0,14491,154182,0.0,3661162,0.0,3521475,139687,0.0,3136355,0.0,3115880,20475,0.0,524807,0.0,405595,119212,0.0,261031,0.0,248148,12883,0.0,233349,0.0,220750,12599,0.0,27682,0.0,27398,284,0.0,134167,0.0,127035,7132,0.0,0,0.0,9705847,0,0.0,0,0.0,44685047,0,0.0
0400000US02,02,Alaska,805338,0.0,794133,11205,0.0,155416,0.0,155070,346,0.0,649922,0.0,639063,10859,0.0,519415,0.0,519415,0,0.0,130507,0.0,119648,10859,0.0,1932385,0.0,1877813,54572,0.0,1118908,0.0,1087886,31022,0.0,1079590,0.0,1049321,30269,0.0,13786,0.0,13786,0,0.0,25532,0.0,24779,753,0.0,12032457,0.0,11668252,364205,0.0,137230,0.0,136694,536,0.0,123609,0.0,123073,536,0.0,13621,0.0,13621,0,0.0,6478859,0.0,6170096,308763,0.0,893497,0.0,893497,0,0.0,882565,0.0,882565,0,0.0,857690,0.0,857690,0,0.0,24875,0.0,24875,0,0.0,10932,0.0,10932,0,0.0,5585362,0.0,5276599,308763,0.0,764280,0.0,678500,85780,0.0,4134938,0.0,3985513,149425,0.0,0,0.0,0,0,0.0,37575,0.0,37575,0,0.0,569185,0.0,495627,73558,0.0,79384,0.0,79384,0,0.0,5416368,0.0,5361462,54906,0.0,5030643,0.0,5030643,0,0.0,385725,0.0,330819,54906,0.0,40796,0.0,40280,516,0.0,29772,0.0,29400,372,0.0,11024,0.0,10880,144,0.0,44612,0.0,43853,759,0.0,0,0.0,1967045,0,0.0,0,0.0,19210544,0,0.0
0400000US04,04,Arizona,2995366,0.0,2714224,281142,0.0,1281811,0.0,1218137,63674,0.0,1713555,0.0,1496087,217468,0.0,314395,0.0,313155,1240,0.0,1399160,0.0,1182932,216228,0.0,7379303,0.0,6804596,574707,0.0,4336235,0.0,4006687,329548,0.0,3691577,0.0,3373283,318294,0.0,296989,0.0,291200,5789,0.0,347669,0.0,342204,5465,0.0,45877079,0.0,41914755,3962324,0.0,2041292,0.0,1960860,80432,0.0,395643,0.0,355067,40576,0.0,1645649,0.0,1605793,39856,0.0,33409928,0.0,29986248,3423680,0.0,263320,0.0,29104,234216,0.0,257450,0.0,29104,228346,0.0,213377,0.0,0,213377,0.0,44073,0.0,29104,14969,0.0,5870,0.0,0,5870,0.0,33146608,0.0,29957144,3189464,0.0,7676866,0.0,7317677,359189,0.0,22719013,0.0,21451162,1267851,0.0,0,0.0,0,0,0.0,34756,0.0,0,34756,0.0,2304279,0.0,1188305,1115974,0.0,411694,0.0,0,411694,0.0,10425859,0.0,9967647,458212,0.0,72609,0.0,47575,25034,0.0,10353250,0.0,9920072,433178,0.0,477676,0.0,460506,17170,0.0,256713,0.0,241510,15203,0.0,220963,0.0,218996,1967,0.0,158089,0.0,145380,12709,0.0,0,0.0,10836734,0,0.0,0,0.0,55911160,0,0.0
0400000US05,05,Arkansas,1021442,0.0,986029,35413,0.0,196630,0.0,195757,873,0.0,824812,0.0,790272,34540,0.0,325703,0.0,320665,5038,0.0,499109,0.0,469607,29502,0.0,4262561,0.0,4227003,35558,0.0,1634345,0.0,1583507,50838,0.0,1502126,0.0,1453894,48232,0.0,31792,0.0,31436,356,0.0,100427,0.0,98177,2250,0.0,27091241,0.0,26831975,259266,0.0,686258,0.0,674988,11270,0.0,154685,0.0,147200,7485,0.0,531573,0.0,527788,3785,0.0,14240596,0.0,13994841,245755,0.0,407142,0.0,371884,35258,0.0,405651,0.0,371764,33887,0.0,214440,0.0,190863,23577,0.0,191211,0.0,180901,10310,0.0,1491,0.0,120,1371,0.0,13833454,0.0,13622957,210497,0.0,1928322,0.0,1902181,26141,0.0,7589569,0.0,7516948,72621,0.0,5880,0.0,5863,17,0.0,191378,0.0,168421,22957,0.0,3004632,0.0,3004462,170,0.0,1113673,0.0,1025082,88591,0.0,12164387,0.0,12162146,2241,0.0,528788,0.0,528676,112,0.0,11635599,0.0,11633470,2129,0.0,165687,0.0,165169,518,0.0,134015,0.0,133564,451,0.0,31672,0.0,31605,67,0.0,79462,0.0,78179,1283,0.0,0,0.0,5080501,0,0.0,0,0.0,30489131,0,0.0
0400000US06,06,California,30064083,0.0,20904219,9159864,0.0,8875849,0.0,6641367,2234482,0.0,21188234,0.0,14262852,6925382,0.0,6964389,0.0,6962459,1930,24.9,14223845,0.0,7300393,6923452,0.0,115762428,0.0,85711701,30050727,0.0,46096858,0.0,33815771,12281087,0.0,43748275,0.0,32477634,11270641,0.0,573457,0.0,453577,119880,0.0,1775127,0.0,884560,890567,0.0,751790633,0.0,544754853,207035780,0.0,29652011,0.0,16434364,13217647,0.0,4490149,0.0,905162,3584987,0.0,25161862,0.0,15529202,9632660,0.0,630577616,0.0,470357810,160219806,0.0,36252514,0.0,23483857,12768657,0.0,36035479,0.0,23456274,12579205,0.0,19326485,0.0,10915646,8410839,0.0,16708994,0.0,12540628,4168366,0.0,217034,0.1,27583,189451,0.1,594325102,0.0,446873953,147451149,0.0,100307614,0.0,76195893,24111721,0.0,323107244,0.0,258706705,64400539,0.0,520316,0.0,504967,15349,0.0,10219590,0.0,8609919,1609671,0.0,134527952,0.0,83955357,50572595,0.0,25642386,0.0,18901112,6741274,0.1,91561006,0.0,57962679,33598327,0.0,48924879,0.0,34805874,14119005,0.0,42636127,0.0,23156805,19479322,0.0,2343586,0.0,1928754,414832,0.0,1664099,0.0,1315324,348775,0.0,679487,0.0,613430,66057,0.0,1210442,0.0,936841,273601,0.0,0,0.0,78493000,0,0.0,0,0.0,661216000,0,0.0
0400000US08,08,Colorado,2082248,0.1,1917934,164314,1.0,742967,0.0,681295,61672,0.0,1339281,0.1,1236639,102642,1.7,410234,0.4,408245,1989,81.0,929047,0.0,828394,100653,0.1,7323349,0.5,6726485,596864,6.5,4698757,1.5,4337822,360935,19.7,4283063,1.6,3960949,322114,21.0,201476,0.4,188443,13033,6.1,214219,1.3,188430,25789,11.1,52056559,0.7,47668086,4388473,8.1,1442854,0.1,1375628,67226,1.4,54539,1.7,4954,49585,1.9,1388315,0.0,1370674,17641,0.0,45837234,0.8,41873839,3963395,8.7,6350023,0.7,6093557,256466,17.7,6258660,0.7,6006459,252201,16.5,3131014,0.0,3053328,77686,0.6,3127646,1.3,2953131,174515,24.1,91362,4.2,87098,4264,90.6,39487212,0.8,35780282,3706930,8.1,4009390,0.7,3249372,760018,3.8,16721380,0.0,15864836,856544,0.1,0,0.0,0,0,0.0,53998,34.9,0,53998,34.9,16720134,0.0,16052576,667558,0.7,1982310,13.0,613498,1368812,18.9,4776471,0.2,4418619,357852,2.9,312419,0.9,308578,3841,69.3,4464052,0.2,4110041,354011,2.2,437618,0.0,416338,21280,0.0,224140,0.0,207650,16490,0.6,213478,0.1,208688,4790,2.3,123014,0.1,110148,12866,0.5,0,0.0,7993507,0,0.0,0,0.0,70709630,0,0.0
0400000US09,09,Connecticut,3171228,0.0,2756046,415182,0.3,543508,0.1,371054,172454,0.2,2627720,0.0,2384992,242728,0.5,2244672,0.0,2235205,9467,4.5,383048,0.3,149787,233261,0.5,4702481,0.9,3578246,1124235,3.9,4206401,0.2,3479421,726980,0.9,4132365,0.2,3479401,652963,1.0,8513,1.5,20,8493,1.5,65523,0.5,0,65523,0.5,37340428,0.0,29669749,7670679,0.2,1308812,0.2,841383,467429,0.6,922780,0.3,548885,373895,0.8,386031,0.1,292498,93533,0.4,32862874,0.0,26037917,6824957,0.2,3454216,0.1,2741217,712999,0.4,3433865,0.1,2727958,705907,0.5,2073280,0.2,1705611,367669,1.3,1360585,0.5,1022347,338238,2.1,20351,0.0,13259,7092,0.0,29408659,0.0,23296700,6111959,0.2,3785915,0.0,2847700,938215,0.2,13320792,0.1,10015938,3304854,0.3,0,0.0,0,0,0.0,367350,0.9,0,367350,0.9,10920100,0.0,10162463,757637,0.0,1014502,0.0,270599,743903,0.0,3168742,0.0,2790449,378293,0.0,27798,0.0,0,27798,0.0,3140944,0.0,2790449,350495,0.0,147664,0.3,125681,21983,1.7,130262,0.3,110415,19847,1.7,17402,0.3,15266,2136,2.6,110576,0.1,87160,23416,0.5,0,0.0,7854976,0,0.0,0,0.0,54782144,0,0.0
0400000US10,10,Delaware,359376,0.0,318086,41290,0.0,73216,0.0,63019,10197,0.0,286160,0.0,255067,31093,0.0,249162,0.0,242735,6427,0.0,36998,0.0,12332,24666,0.0,1523511,0.0,1400814,122697,0.0,641875,0.0,583676,58199,0.0,605391,0.0,549723,55668,0.0,4378,0.0,3980,398,0.0,32106,0.0,29973,2133,0.0,9822684,0.0,9218213,604471,0.0,641275,0.0,571016,70259,0.0,23941,0.0,4403,19538,0.0,617334,0.0,566613,50721,0.0,7426622,0.0,6892410,534212,0.0,63691,0.0,6045,57646,0.0,59208,0.0,1562,57646,0.0,18583,0.0,1562,17021,0.0,40625,0.0,0,40625,0.0,4483,0.0,4483,0,0.0,7362931,0.0,6886365,476566,0.0,2012938,0.0,1913410,99528,0.0,2093416,0.0,1758304,335112,0.0,0,0.0,0,0,0.0,12942,0.0,0,12942,0.0,1299691,0.0,1299691,0,0.0,1943944,0.0,1914960,28984,0.0,1754787,0.0,1754787,0,0.0,0,0.0,0,0,0.0,1754787,0.0,1754787,0,0.0,48652,0.0,46958,1694,0.0,45517,0.0,43956,1561,0.0,3135,0.0,3002,133,0.0,28524,0.0,26180,2344,0.0,0,0.0,1877105,0,0.0,0,0.0,8757980,0,0.0
0400000US11,11,District of Columbia,270007,0.0,0,270007,0.0,61612,0.0,0,61612,0.0,208395,0.0,0,208395,0.0,3360,0.0,0,3360,0.0,205035,0.0,0,205035,0.0,1542055,0.0,0,1542055,0.0,411029,0.0,0,411029,0.0,327094,0.0,0,327094,0.0,28542,0.0,0,28542,0.0,55393,0.0,0,55393,0.0,8983534,0.0,0,8983534,0.0,199368,0.0,0,199368,0.0,124442,0.0,0,124442,0.0,74926,0.0,0,74926,0.0,8321512,0.0,0,8321512,0.0,223061,0.0,0,223061,0.0,222152,0.0,0,222152,0.0,181489,0.0,0,181489,0.0,40663,0.0,0,40663,0.0,909,0.0,0,909,0.0,8098451,0.0,0,8098451,0.0,1969058,0.0,0,1969058,0.0,4261397,0.0,0,4261397,0.0,0,0.0,0,0,0.0,85485,0.0,0,85485,0.0,1773661,0.0,0,1773661,0.0,8850,0.0,0,8850,0.0,462654,0.0,0,462654,0.0,7300,0.0,0,7300,0.0,455354,0.0,0,455354,0.0,21707,0.0,0,21707,0.0,19450,0.0,0,19450,0.0,2257,0.0,0,2257,0.0,11512,0.0,0,11512,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
0400000US12,12,Florida,5420948,0.8,3257453,2163495,2.0,1225769,0.7,839720,386049,2.2,4195179,0.9,2417733,1777446,2.1,683288,3.0,531895,151393,13.6,3511891,0.6,1885838,1626053,1.4,26661056,0.2,22779495,3881561,1.6,10080192,0.5,7695295,2384897,2.2,9280312,0.5,7159236,2121076,2.3,69156,3.1,6994,62162,3.4,730739,0.6,529065,201674,2.3,181885232,0.2,153273671,28611561,1.5,3005302,1.7,1785591,1219711,4.3,882807,4.6,358431,524376,7.7,2122495,2.1,1427160,695335,6.4,149122839,0.3,123926273,25196566,1.6,34336914,0.2,31430227,2906687,2.4,34278703,0.2,31430227,2848476,2.4,10744591,0.4,9274839,1469752,2.9,23534113,0.3,22155388,1378725,4.6,58212,2.2,0,58212,2.2,114785925,0.3,92496046,22289879,1.5,16537906,0.3,12981302,3556604,1.6,44595153,0.6,31089160,13505993,1.9,18222,0.0,0,18222,0.0,802180,4.5,0,802180,4.5,44054380,0.1,40923922,3130458,1.1,8778084,0.3,7501662,1276422,2.1,29757091,0.1,27561807,2195284,0.7,10197971,0.0,9910420,287551,0.3,19559121,0.1,17651387,1907734,0.8,714806,0.5,616375,98431,3.7,597269,0.5,512364,84905,3.6,117537,0.7,104011,13526,6.2,421035,0.2,361775,59260,1.3,0,0.0,24568642,0,0.0,0,0.0,154125953,0,0.0
